379,36,22,11,16,11,0,\N,17,14,216.699
380,36,11,8,10,12,0,\N,20,18,215.746
381,36,17,9,7,13,0,\N,21,9,218.178
382,36,24,5,19,14,0,\N,44,15,216.247
383,36,18,11,14,15,0,\N,42,17,215.991
384,36,19,8,11,16,0,\N,41,19,215.742
385,36,16,12,20,17,0,\N,40,20,215.260
386,36,25,3,15,18,0,\N,24,16,216.196
387,36,14,9,18,19,0,\N,44,11,217.668
388,36,9,2,5,20,0,\N,19,4,220.341
389,36,26,5,17,21,0,\N,22,21,214.616
390,36,27,12,21,22,0,\N,9,22,210.022
391,37,4,1,2,1,10,1:32:14.930,42,2,206.014
392,37,1,1,4,2,8,+17.557,22,1,206.355
393,37,8,6,3,3,6,+18.339,40,4,205.237
394,37,2,2,5,4,5,+33.777,55,5,204.838
395,37,13,6,1,5,4,+36.705,42,3,205.298
396,37,21,4,12,6,3,+1:05.638,44,9,203.872
397,37,15,7,8,7,2,+1:10.132,40,10,203.587
398,37,5,4,11,8,1,+1:12.015,41,7,204.015
399,37,25,3,19,9,0,+1:29.924,19,8,203.903
400,37,17,9,10,10,0,+1:33.556,55,14,202.504
401,37,22,11,22,11,0,\N,32,15,202.451
402,37,18,11,15,12,0,\N,54,16,202.262
403,37,11,8,14,13,0,\N,37,13,202.595
404,37,26,5,17,14,0,\N,54,18,201.364
405,37,23,7,9,15,0,\N,52,19,201.070
406,37,19,8,18,16,0,\N,32,20,200.417
407,37,24,5,16,17,0,\N,21,12,202.695
408,37,9,2,7,18,0,\N,53,17,201.820
409,37,3,3,6,19,0,\N,18,6,204.237
410,37,14,9,13,20,0,\N,28,11,203.416
411,37,27,12,20,21,0,\N,5,21,196.608
412,37,16,12,21,22,0,\N,\N,\N,\N
413,38,13,6,1,1,10,1:33:27.515,42,1,207.120
414,38,1,1,2,2,8,+2.360,18,2,206.674
415,38,8,6,3,3,6,+10.839,39,3,206.483
416,38,2,2,5,4,5,+13.831,38,5,206.236
417,38,4,1,4,5,4,+14.426,46,4,206.346
418,38,9,2,6,6,3,+45.529,46,6,205.477
419,38,15,7,9,7,2,+1:21.371,40,7,204.756
420,38,21,4,7,8,1,+1:21.701,51,8,204.655
421,38,5,4,12,9,0,+1:29.411,27,10,204.065
422,38,3,3,10,10,0,+1:29.916,51,11,203.893
423,38,25,3,11,11,0,\N,27,16,202.966
424,38,23,7,14,12,0,\N,37,15,203.278
425,38,22,11,15,13,0,\N,50,14,203.284
426,38,27,12,22,14,0,\N,40,20,200.477
427,38,16,12,20,15,0,\N,45,19,201.330
428,38,19,8,13,16,0,\N,27,17,202.715
429,38,17,9,8,17,0,\N,37,12,203.575
430,38,14,9,21,18,0,\N,34,9,204.260
431,38,11,8,17,19,0,\N,23,18,202.193
432,38,24,5,18,20,0,\N,23,13,203.537
433,38,18,11,16,21,0,\N,\N,\N,\N
434,38,26,5,19,22,0,\N,\N,\N,\N
435,39,13,6,1,1,10,1:31:36.230,14,1,202.685
436,39,1,1,4,2,8,+6.790,20,2,202.205
437,39,4,1,2,3,6,+17.456,17,3,201.986
438,39,9,2,5,4,5,+31.615,20,5,201.590
439,39,14,9,9,5,4,+58.331,18,8,200.636
440,39,3,3,11,6,3,+59.538,60,10,200.231
441,39,5,4,8,7,2,+1:02.128,32,4,201.952
442,39,11,8,13,8,1,\N,23,12,199.239
443,39,21,4,10,9,0,\N,57,9,200.550
444,39,22,11,12,10,0,\N,16,14,198.820
445,39,19,8,15,11,0,\N,59,15,198.811
446,39,18,11,14,12,0,\N,64,13,199.059
447,39,16,12,20,13,0,\N,57,16,196.710
448,39,27,12,21,14,0,\N,61,18,196.551
449,39,2,2,7,15,0,\N,22,7,200.735
450,39,23,7,17,16,0,\N,37,11,199.492
451,39,24,5,16,17,0,\N,18,17,196.673
452,39,26,5,22,18,0,\N,6,20,194.322
453,39,8,6,3,19,0,\N,7,6,200.754
454,39,15,7,6,20,0,\N,6,19,194.647
455,39,17,9,19,21,0,\N,4,21,194.131
456,39,25,3,18,22,0,\N,\N,\N,\N
457,40,4,1,1,1,10,1:40:29.329,44,1,159.715
458,40,1,1,2,2,8,+4.095,28,2,159.528
459,40,13,6,3,3,6,+1:09.114,47,4,157.830
460,40,21,4,4,4,5,\N,54,5,157.683
461,40,9,2,8,5,4,\N,39,3,158.198
462,40,2,2,7,6,3,\N,30,12,156.072
463,40,25,3,11,7,2,\N,40,7,156.852
464,40,8,6,16,8,1,\N,62,6,156.987
465,40,26,5,18,9,0,\N,73,10,156.426
466,40,22,11,9,10,0,\N,69,13,155.993
467,40,18,11,10,11,0,\N,40,9,156.558
468,40,3,3,5,12,0,\N,70,11,156.174
469,40,5,4,15,13,0,\N,72,14,155.953
470,40,14,9,13,14,0,\N,75,8,156.591
471,40,15,7,14,15,0,\N,53,18,155.158
472,40,23,7,20,16,0,\N,47,17,155.688
473,40,11,8,21,17,0,\N,74,15,155.785
474,40,19,8,17,18,0,\N,63,16,155.704
475,40,27,12,22,19,0,\N,70,20,154.770
476,40,16,12,19,20,0,\N,34,19,154.792
477,40,17,9,6,21,0,\N,17,21,152.206
478,40,24,5,12,22,0,\N,\N,\N,\N
479,41,1,1,1,1,10,1:44:11.292,37,2,205.239
480,41,2,2,3,2,8,+4.343,19,3,204.699
481,41,25,3,19,3,6,+5.325,67,11,201.413
482,41,5,4,22,4,5,+6.729,67,13,200.331
483,41,8,6,4,5,4,+13.007,21,5,204.259
484,41,11,8,11,6,3,+16.698,47,12,201.186
485,41,4,1,2,7,2,+21.936,46,1,205.580
486,41,23,7,18,8,1,+22.888,38,10,201.509
487,41,17,9,6,9,0,+22.960,47,9,202.267
488,41,3,3,7,10,0,+23.984,42,6,203.478
489,41,19,8,17,11,0,+24.318,36,15,199.284
490,41,22,11,13,12,0,+30.439,62,14,199.885
491,41,15,7,10,13,0,\N,12,17,198.497
492,41,24,5,12,14,0,\N,9,19,197.790
493,41,27,12,21,15,0,\N,21,18,198.092
494,41,14,9,14,16,0,\N,19,16,198.776
495,41,9,2,8,17,0,\N,19,8,202.499
496,41,16,12,20,18,0,\N,20,20,197.598
497,41,26,5,16,19,0,\N,6,21,196.019
498,41,18,11,15,20,0,\N,\N,\N,\N
